PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:us-east-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:us-east-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account 858573892697 is not enabled.;arn:aws:accessanalyzer:us-east-1:858573892697:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Billing, emergency, security contacts;Check if billing, emergency, security contacts are configured;Deploy account from predefined IaC template;;;Billing;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::858573892697:root;account_maintain_current_contact_details;False;858573892697;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Billing, emergency, security contacts;Check if billing, emergency, security contacts are configured;Deploy account from predefined IaC template;;;Billing;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::858573892697:root;account_security_contact_information_is_registered;False;858573892697;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Enable as part of Organization trail;Activate as a component of the Organization trail.;AWS Cloudtrail;;;CloudTrail;Automated;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:us-east-1:858573892697:trail;cloudtrail_multi_region_enabled;False;858573892697;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Enable as part of Organization trail;Activate as a component of the Organization trail.;AWS Cloudtrail;;;CloudTrail;Automated;FAIL;No CloudTrail trails enabled and logging management events were found.;arn:aws:cloudtrail:us-east-1:858573892697:trail;cloudtrail_multi_region_enabled_logging_management_events;False;858573892697;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Confirm that logs are present in S3 bucket and SIEM;Verify the existence of logs within both the S3 bucket and the SIEM system.;AWS Cloudtrail;;;CloudTrail;Automated;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:us-east-1:858573892697:trail;cloudtrail_s3_dataevents_read_enabled;False;858573892697;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Send S3 access logs for critical buckets to separate S3 bucket;Send S3 access logs for critical buckets to separate S3 bucket;Logging;;;Logging;Automated;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:us-east-1:858573892697:trail;cloudtrail_s3_dataevents_write_enabled;False;858573892697;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;858573892697;us-east-1;2026-09-13 17:57:11.149991;Confirm that logs are present in S3 bucket and SIEM;Verify the existence of logs within both the S3 bucket and the SIEM system.;AWS Cloudtrail;;;CloudTrail;Automated;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:us-east-1:858573892697:trail;cloudtrail_s3_dataevents_write_enabled;False;858573892697;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
