PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_DOMAIN;REQUIREMENTS_ATTRIBUTES_LEVEL;REQUIREMENTS_ATTRIBUTES_SOURCEREQUIREMENT;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;af-south-1;2026-09-13 17:05:55.304157;SC.L1-b.1.x;Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.;System and Communications Protection;Level 1;48 CFR 52.204-21(b)(1)(x);FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;af-south-1;2026-09-13 17:05:55.304157;AC.L2-3.1.12;Monitor and control remote access sessions.;Access Control;Level 2;NIST SP 800-171 Rev 2 3.1.12;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;af-south-1;2026-09-13 17:05:55.304157;AU.L2-3.3.1;Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity;Audit and Accountability;Level 2;NIST SP 800-171 Rev 2 3.3.1;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;af-south-1;2026-09-13 17:05:55.304157;AU.L2-3.3.2;Ensure that the actions of individual system users can be uniquely traced to those users, so they can be held accountable for their actions.;Audit and Accountability;Level 2;NIST SP 800-171 Rev 2 3.3.2;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;af-south-1;2026-09-13 17:05:55.304157;SC.L2-3.13.1;Monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems.;System and Communications Protection;Level 2;NIST SP 800-171 Rev 2 3.13.1;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;af-south-1;2026-09-13 17:05:55.304157;SI.L2-3.14.6;Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.;System and Information Integrity;Level 2;NIST SP 800-171 Rev 2 3.14.6;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;af-south-1;2026-09-13 17:05:55.304157;SI.L2-3.14.7;Identify unauthorized use of organizational systems.;System and Information Integrity;Level 2;NIST SP 800-171 Rev 2 3.14.7;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;ap-northeast-1;2026-09-13 17:05:55.304157;SC.L1-b.1.x;Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.;System and Communications Protection;Level 1;48 CFR 52.204-21(b)(1)(x);FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;ap-northeast-1;2026-09-13 17:05:55.304157;AC.L2-3.1.12;Monitor and control remote access sessions.;Access Control;Level 2;NIST SP 800-171 Rev 2 3.1.12;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;ap-northeast-1;2026-09-13 17:05:55.304157;AU.L2-3.3.1;Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity;Audit and Accountability;Level 2;NIST SP 800-171 Rev 2 3.3.1;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;ap-northeast-1;2026-09-13 17:05:55.304157;AU.L2-3.3.2;Ensure that the actions of individual system users can be uniquely traced to those users, so they can be held accountable for their actions.;Audit and Accountability;Level 2;NIST SP 800-171 Rev 2 3.3.2;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;ap-northeast-1;2026-09-13 17:05:55.304157;SC.L2-3.13.1;Monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems.;System and Communications Protection;Level 2;NIST SP 800-171 Rev 2 3.13.1;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;ap-northeast-1;2026-09-13 17:05:55.304157;SI.L2-3.14.6;Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.;System and Information Integrity;Level 2;NIST SP 800-171 Rev 2 3.14.6;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;ap-northeast-1;2026-09-13 17:05:55.304157;SI.L2-3.14.7;Identify unauthorized use of organizational systems.;System and Information Integrity;Level 2;NIST SP 800-171 Rev 2 3.14.7;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
aws;The Cybersecurity Maturity Model Certification (CMMC) 2.0 program, codified in 32 CFR Part 170, is the U.S. Department of Defense mechanism to verify that defense contractors protect Federal Contract Information (FCI) and Controlled Unclassified Information (CUI). It defines three levels: Level 1 (15 basic safeguarding requirements from 48 CFR 52.204-21), Level 2 (the 110 security requirements of NIST SP 800-171 Rev 2) and Level 3 (24 enhanced requirements selected from NIST SP 800-172).;987292390922;ap-northeast-2;2026-09-13 17:05:55.304157;SC.L1-b.1.x;Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.;System and Communications Protection;Level 1;48 CFR 52.204-21(b)(1)(x);FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:987292390922:trail;987292390922;cloudtrail_multi_region_enabled;False;CMMC;Cybersecurity Maturity Model Certification (CMMC) 2.0
