PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;af-south-1;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:af-south-1:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;ap-northeast-1;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;ap-northeast-2;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;ap-northeast-3;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-3:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;ap-south-1;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-south-1:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;ap-southeast-1;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-southeast-1:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;ap-southeast-2;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-southeast-2:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;ca-central-1;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ca-central-1:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;eu-central-1;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:eu-central-1:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;987292390922;eu-north-1;2026-09-13 17:05:55.304157;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:eu-north-1:987292390922:trail;cloudtrail_multi_region_enabled;False;987292390922;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
