PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_NAME;REQUIREMENTS_ATTRIBUTES_WELLARCHITECTEDQUESTIONID;REQUIREMENTS_ATTRIBUTES_WELLARCHITECTEDPRACTICEID;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_LEVELOFRISK;REQUIREMENTS_ATTRIBUTES_ASSESSMENTMETHOD;REQUIREMENTS_ATTRIBUTES_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IMPLEMENTATIONGUIDANCEURL;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL06-BP01;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;REL06-BP01 Monitor all components for the workload (Generation);monitor-aws-resources;rel_monitor_aws_resources_monitor_resources;Change management;Monitor workload resources;High;Automated;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_monitor_aws_resources_monitor_resources.html#implementation-guidance;FAIL;Lambda function security-remediation-s3-public is not recorded by CloudTrail.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-public;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;False;security-remediation-s3-public;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL06-BP01;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;REL06-BP01 Monitor all components for the workload (Generation);monitor-aws-resources;rel_monitor_aws_resources_monitor_resources;Change management;Monitor workload resources;High;Automated;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_monitor_aws_resources_monitor_resources.html#implementation-guidance;FAIL;Lambda function security-remediation-cloudtrail is not recorded by CloudTrail.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-cloudtrail;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;False;security-remediation-cloudtrail;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL06-BP01;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;REL06-BP01 Monitor all components for the workload (Generation);monitor-aws-resources;rel_monitor_aws_resources_monitor_resources;Change management;Monitor workload resources;High;Automated;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_monitor_aws_resources_monitor_resources.html#implementation-guidance;FAIL;Lambda function security-remediation-s3-encryption is not recorded by CloudTrail.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-encryption;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;False;security-remediation-s3-encryption;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL06-BP01;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;REL06-BP01 Monitor all components for the workload (Generation);monitor-aws-resources;rel_monitor_aws_resources_monitor_resources;Change management;Monitor workload resources;High;Automated;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_monitor_aws_resources_monitor_resources.html#implementation-guidance;FAIL;Lambda function security-remediation-rdp is not recorded by CloudTrail.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-rdp;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;False;security-remediation-rdp;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL06-BP01;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;REL06-BP01 Monitor all components for the workload (Generation);monitor-aws-resources;rel_monitor_aws_resources_monitor_resources;Change management;Monitor workload resources;High;Automated;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_monitor_aws_resources_monitor_resources.html#implementation-guidance;FAIL;Lambda function security-remediation-ssh is not recorded by CloudTrail.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-ssh;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;False;security-remediation-ssh;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL09-BP03;Configure backups to be taken automatically based on a periodic schedule informed by the Recovery Point Objective (RPO), or by changes in the dataset. Critical datasets with low data loss requirements need to be backed up automatically on a frequent basis, whereas less critical data where some loss is acceptable can be backed up less frequently.;REL09-BP03 Perform data backup automatically;backing-up-data;rel_backing_up_data_automated_backups_data;Failure management;Backup up data;High;Automated;Configure backups to be taken automatically based on a periodic schedule informed by the Recovery Point Objective (RPO), or by changes in the dataset. Critical datasets with low data loss requirements need to be backed up automatically on a frequent basis, whereas less critical data where some loss is acceptable can be backed up less frequently.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_backing_up_data_automated_backups_data.html#implementation-guidance;FAIL;CloudFormation Stack StackSet-AWS-QuickSetup-SSM-LA-g2j2x-8368c8cb-085c-40d4-98a1-64e9bccd4610 has termination protection disabled.;arn:aws:cloudformation:us-east-1:858573892697:stack/StackSet-AWS-QuickSetup-SSM-LA-g2j2x-8368c8cb-085c-40d4-98a1-64e9bccd4610/ebd838e0-b2ef-11f1-9c9a-0affd806690d;cloudformation_stacks_termination_protection_enabled;False;StackSet-AWS-QuickSetup-SSM-LA-g2j2x-8368c8cb-085c-40d4-98a1-64e9bccd4610;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL09-BP03;Configure backups to be taken automatically based on a periodic schedule informed by the Recovery Point Objective (RPO), or by changes in the dataset. Critical datasets with low data loss requirements need to be backed up automatically on a frequent basis, whereas less critical data where some loss is acceptable can be backed up less frequently.;REL09-BP03 Perform data backup automatically;backing-up-data;rel_backing_up_data_automated_backups_data;Failure management;Backup up data;High;Automated;Configure backups to be taken automatically based on a periodic schedule informed by the Recovery Point Objective (RPO), or by changes in the dataset. Critical datasets with low data loss requirements need to be backed up automatically on a frequent basis, whereas less critical data where some loss is acceptable can be backed up less frequently.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_backing_up_data_automated_backups_data.html#implementation-guidance;FAIL;CloudFormation Stack AWS-QuickSetup-SSM-LocalDeploymentRolesStack has termination protection disabled.;arn:aws:cloudformation:us-east-1:858573892697:stack/AWS-QuickSetup-SSM-LocalDeploymentRolesStack/b1d23fb0-b2ef-11f1-8214-0e765133f371;cloudformation_stacks_termination_protection_enabled;False;AWS-QuickSetup-SSM-LocalDeploymentRolesStack;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL09-BP03;Configure backups to be taken automatically based on a periodic schedule informed by the Recovery Point Objective (RPO), or by changes in the dataset. Critical datasets with low data loss requirements need to be backed up automatically on a frequent basis, whereas less critical data where some loss is acceptable can be backed up less frequently.;REL09-BP03 Perform data backup automatically;backing-up-data;rel_backing_up_data_automated_backups_data;Failure management;Backup up data;High;Automated;Configure backups to be taken automatically based on a periodic schedule informed by the Recovery Point Objective (RPO), or by changes in the dataset. Critical datasets with low data loss requirements need to be backed up automatically on a frequent basis, whereas less critical data where some loss is acceptable can be backed up less frequently.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_backing_up_data_automated_backups_data.html#implementation-guidance;FAIL;CloudFormation Stack aws-deepracer-resources-d057346b-c924-4524-9618-96f2f420f24a has termination protection disabled.;arn:aws:cloudformation:us-east-1:858573892697:stack/aws-deepracer-resources-d057346b-c924-4524-9618-96f2f420f24a/273bcf60-bf54-11e9-b739-12a9adafee72;cloudformation_stacks_termination_protection_enabled;False;aws-deepracer-resources-d057346b-c924-4524-9618-96f2f420f24a;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL06-BP01;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;REL06-BP01 Monitor all components for the workload (Generation);monitor-aws-resources;rel_monitor_aws_resources_monitor_resources;Change management;Monitor workload resources;High;Automated;Monitor components and services of AWS workload effectifely, using tools like Amazon CloudWatch and AWS Health Dashboard. Define relevant metrics, set thresholds, and analyze metrics and logs for early detection of issues.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_monitor_aws_resources_monitor_resources.html#implementation-guidance;PASS;Multiregion trail vaultcloud-trail has been logging in the last 24h.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_cloudwatch_logging_enabled;False;vaultcloud-trail;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
aws;Best Practices for the AWS Well-Architected Framework Reliability Pillar encompasses the ability of a workload to perform its intended function correctly and consistently when it’s expected to. This includes the ability to operate and test the workload through its total lifecycle.;858573892697;us-east-1;2026-09-19 09:30:34.148196;REL09-BP03;Configure backups to be taken automatically based on a periodic schedule informed by the Recovery Point Objective (RPO), or by changes in the dataset. Critical datasets with low data loss requirements need to be backed up automatically on a frequent basis, whereas less critical data where some loss is acceptable can be backed up less frequently.;REL09-BP03 Perform data backup automatically;backing-up-data;rel_backing_up_data_automated_backups_data;Failure management;Backup up data;High;Automated;Configure backups to be taken automatically based on a periodic schedule informed by the Recovery Point Objective (RPO), or by changes in the dataset. Critical datasets with low data loss requirements need to be backed up automatically on a frequent basis, whereas less critical data where some loss is acceptable can be backed up less frequently.;https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_backing_up_data_automated_backups_data.html#implementation-guidance;FAIL;RDS Instance vaultcloud-prod-db does not have backup enabled.;arn:aws:rds:us-east-1:858573892697:db:vaultcloud-prod-db;rds_instance_backup_enabled;False;vaultcloud-prod-db;AWS-Well-Architected-Framework-Reliability-Pillar;AWS Well-Architected Framework Reliability Pillar
