PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;Lambda function security-remediation-s3-public has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-public;awslambda_function_not_publicly_accessible;False;security-remediation-s3-public;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;PASS;Lambda function security-remediation-s3-public has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-public;awslambda_function_not_publicly_accessible;False;security-remediation-s3-public;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;Lambda function security-remediation-cloudtrail has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-cloudtrail;awslambda_function_not_publicly_accessible;False;security-remediation-cloudtrail;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;PASS;Lambda function security-remediation-cloudtrail has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-cloudtrail;awslambda_function_not_publicly_accessible;False;security-remediation-cloudtrail;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;Lambda function security-remediation-s3-encryption has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-encryption;awslambda_function_not_publicly_accessible;False;security-remediation-s3-encryption;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;PASS;Lambda function security-remediation-s3-encryption has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-encryption;awslambda_function_not_publicly_accessible;False;security-remediation-s3-encryption;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;Lambda function security-remediation-rdp has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-rdp;awslambda_function_not_publicly_accessible;False;security-remediation-rdp;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;PASS;Lambda function security-remediation-rdp has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-rdp;awslambda_function_not_publicly_accessible;False;security-remediation-rdp;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-systems-3;Implement security configurations for all hardware and software assets.;your systems;;;aws;;PASS;Lambda function security-remediation-ssh has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-ssh;awslambda_function_not_publicly_accessible;False;security-remediation-ssh;CISA;CISA Cyber Essentials framework;
aws;Cybersecurity & Infrastructure Security Agency's (CISA) Cyber Essentials is a guide for leaders of small businesses as well as leaders of small and local government agencies to develop an actionable understanding of where to start implementing organizational cybersecurity practices.;858573892697;us-east-1;2026-09-19 09:30:34.148196;your-data-2;Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.;your data;;;aws;;PASS;Lambda function security-remediation-ssh has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-ssh;awslambda_function_not_publicly_accessible;False;security-remediation-ssh;CISA;CISA Cyber Essentials framework;
