PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_CCMLITE;REQUIREMENTS_ATTRIBUTES_IAAS;REQUIREMENTS_ATTRIBUTES_PAAS;REQUIREMENTS_ATTRIBUTES_SAAS;REQUIREMENTS_ATTRIBUTES_SCOPEAPPLICABILITY;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::858573892697:root;858573892697;account_maintain_current_contact_details;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;arn:aws:iam::858573892697:root;858573892697;account_maintain_different_contact_details_to_security_billing_and_operations;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::858573892697:root;858573892697;account_security_contact_information_is_registered;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;IVS-06;Design, develop, deploy and configure applications and infrastructures such that CSP and CSC (tenant) user access and intra-tenant access is appropriately segmented and segregated, monitored and restricted from other tenants.;Infrastructure & Virtualization Security;Yes;Shared;Shared;CSP-Owned;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IVS-09']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.2.1', '5.3.4', '5.2.7']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SC2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 9.1', '27001: A.13.1.3', '27002: 13.1.3', '27017: 13.1.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 9.1', '27001: A.5.15', '27001: A.5.20', '27001: A.8.3', '27001: A.8.9', '27001: A.8.16', '27001: A.8.22', '27002: 5.15 (b)', '27002: 8.3 (b)', '27002: 8.16 (b)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['SC-3', 'SC-7', 'SC-7(20)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4', 'PR.AC-5']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05', 'PR.IR-01', 'PR.PS-01', 'PR.PS-06', 'DE.CM-09']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['2.6', '8.3.1', '10.8', '11.3', 'A3.2.1', 'A3.3.1']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['A1.1.1', 'A1.1.2', 'A1.1.3']}];FAIL;Lambda function security-remediation-s3-public is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-public;security-remediation-s3-public;awslambda_function_inside_vpc;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;IVS-06;Design, develop, deploy and configure applications and infrastructures such that CSP and CSC (tenant) user access and intra-tenant access is appropriately segmented and segregated, monitored and restricted from other tenants.;Infrastructure & Virtualization Security;Yes;Shared;Shared;CSP-Owned;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IVS-09']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.2.1', '5.3.4', '5.2.7']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SC2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 9.1', '27001: A.13.1.3', '27002: 13.1.3', '27017: 13.1.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 9.1', '27001: A.5.15', '27001: A.5.20', '27001: A.8.3', '27001: A.8.9', '27001: A.8.16', '27001: A.8.22', '27002: 5.15 (b)', '27002: 8.3 (b)', '27002: 8.16 (b)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['SC-3', 'SC-7', 'SC-7(20)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4', 'PR.AC-5']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05', 'PR.IR-01', 'PR.PS-01', 'PR.PS-06', 'DE.CM-09']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['2.6', '8.3.1', '10.8', '11.3', 'A3.2.1', 'A3.3.1']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['A1.1.1', 'A1.1.2', 'A1.1.3']}];FAIL;Lambda function security-remediation-cloudtrail is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-cloudtrail;security-remediation-cloudtrail;awslambda_function_inside_vpc;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;IVS-06;Design, develop, deploy and configure applications and infrastructures such that CSP and CSC (tenant) user access and intra-tenant access is appropriately segmented and segregated, monitored and restricted from other tenants.;Infrastructure & Virtualization Security;Yes;Shared;Shared;CSP-Owned;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IVS-09']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.2.1', '5.3.4', '5.2.7']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SC2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 9.1', '27001: A.13.1.3', '27002: 13.1.3', '27017: 13.1.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 9.1', '27001: A.5.15', '27001: A.5.20', '27001: A.8.3', '27001: A.8.9', '27001: A.8.16', '27001: A.8.22', '27002: 5.15 (b)', '27002: 8.3 (b)', '27002: 8.16 (b)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['SC-3', 'SC-7', 'SC-7(20)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4', 'PR.AC-5']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05', 'PR.IR-01', 'PR.PS-01', 'PR.PS-06', 'DE.CM-09']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['2.6', '8.3.1', '10.8', '11.3', 'A3.2.1', 'A3.3.1']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['A1.1.1', 'A1.1.2', 'A1.1.3']}];FAIL;Lambda function security-remediation-s3-encryption is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-encryption;security-remediation-s3-encryption;awslambda_function_inside_vpc;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;IVS-06;Design, develop, deploy and configure applications and infrastructures such that CSP and CSC (tenant) user access and intra-tenant access is appropriately segmented and segregated, monitored and restricted from other tenants.;Infrastructure & Virtualization Security;Yes;Shared;Shared;CSP-Owned;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IVS-09']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.2.1', '5.3.4', '5.2.7']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SC2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 9.1', '27001: A.13.1.3', '27002: 13.1.3', '27017: 13.1.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 9.1', '27001: A.5.15', '27001: A.5.20', '27001: A.8.3', '27001: A.8.9', '27001: A.8.16', '27001: A.8.22', '27002: 5.15 (b)', '27002: 8.3 (b)', '27002: 8.16 (b)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['SC-3', 'SC-7', 'SC-7(20)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4', 'PR.AC-5']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05', 'PR.IR-01', 'PR.PS-01', 'PR.PS-06', 'DE.CM-09']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['2.6', '8.3.1', '10.8', '11.3', 'A3.2.1', 'A3.3.1']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['A1.1.1', 'A1.1.2', 'A1.1.3']}];FAIL;Lambda function security-remediation-rdp is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-rdp;security-remediation-rdp;awslambda_function_inside_vpc;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;IVS-06;Design, develop, deploy and configure applications and infrastructures such that CSP and CSC (tenant) user access and intra-tenant access is appropriately segmented and segregated, monitored and restricted from other tenants.;Infrastructure & Virtualization Security;Yes;Shared;Shared;CSP-Owned;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IVS-09']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.2.1', '5.3.4', '5.2.7']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SC2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 9.1', '27001: A.13.1.3', '27002: 13.1.3', '27017: 13.1.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 9.1', '27001: A.5.15', '27001: A.5.20', '27001: A.8.3', '27001: A.8.9', '27001: A.8.16', '27001: A.8.22', '27002: 5.15 (b)', '27002: 8.3 (b)', '27002: 8.16 (b)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['SC-3', 'SC-7', 'SC-7(20)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-4', 'PR.AC-5']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-05', 'PR.IR-01', 'PR.PS-01', 'PR.PS-06', 'DE.CM-09']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['2.6', '8.3.1', '10.8', '11.3', 'A3.2.1', 'A3.3.1']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['A1.1.1', 'A1.1.2', 'A1.1.3']}];FAIL;Lambda function security-remediation-ssh is not inside a VPC;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-ssh;security-remediation-ssh;awslambda_function_inside_vpc;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;LOG-07;Establish, document and implement which information meta/data system events should be logged. Review and update the scope at least annually or whenever there is a change in the threat environment.;Logging and Monitoring;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC7.2']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['8.1']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 7.5.3', '27001: A.12.4.1', '27002: 12.4.1', '27017: 12.4.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 7.5.3', '27001: A.8.15']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AU-1', 'AU-14', 'AU-16']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.SC-3', 'ID.SC-4', 'PR.PT-1', 'ID.GV-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.PS-04']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.3']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.2.1', '10.2.2']}];FAIL;Lambda function security-remediation-s3-public is not recorded by CloudTrail.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-public;security-remediation-s3-public;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;858573892697;us-east-1;2026-09-19 09:30:34.148196;LOG-07;Establish, document and implement which information meta/data system events should be logged. Review and update the scope at least annually or whenever there is a change in the threat environment.;Logging and Monitoring;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC7.2']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['8.1']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['5.2.4']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['TM1.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 7.5.3', '27001: A.12.4.1', '27002: 12.4.1', '27017: 12.4.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 7.5.3', '27001: A.8.15']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AU-1', 'AU-14', 'AU-16']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.SC-3', 'ID.SC-4', 'PR.PT-1', 'ID.GV-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.PS-04']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['10.3']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['10.2.1', '10.2.2']}];FAIL;Lambda function security-remediation-cloudtrail is not recorded by CloudTrail.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-cloudtrail;security-remediation-cloudtrail;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
