PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::858573892697:root;account_maintain_current_contact_details;False;858573892697;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::858573892697:root;account_security_contact_information_is_registered;False;858573892697;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::858573892697:root;account_security_questions_are_registered_in_the_aws_account;False;858573892697;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.acc.4.aws.iam.1;Proceso de gestión de derechos de acceso;op.acc.4;operacional;control de acceso;Las políticas IAM deben permitir sólo los privilegios necesarios para cada rol. Se recomienda comenzar con el mínimo nivel de permisos e ir añadiendo permisos adicionales según vaya surgiendo la necesidad en lugar de comenzar con permisos administrativos.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Lambda function security-remediation-s3-public has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-public;awslambda_function_not_publicly_accessible;False;security-remediation-s3-public;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.acc.4.aws.iam.1;Proceso de gestión de derechos de acceso;op.acc.4;operacional;control de acceso;Las políticas IAM deben permitir sólo los privilegios necesarios para cada rol. Se recomienda comenzar con el mínimo nivel de permisos e ir añadiendo permisos adicionales según vaya surgiendo la necesidad en lugar de comenzar con permisos administrativos.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Lambda function security-remediation-cloudtrail has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-cloudtrail;awslambda_function_not_publicly_accessible;False;security-remediation-cloudtrail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.acc.4.aws.iam.1;Proceso de gestión de derechos de acceso;op.acc.4;operacional;control de acceso;Las políticas IAM deben permitir sólo los privilegios necesarios para cada rol. Se recomienda comenzar con el mínimo nivel de permisos e ir añadiendo permisos adicionales según vaya surgiendo la necesidad en lugar de comenzar con permisos administrativos.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Lambda function security-remediation-s3-encryption has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-s3-encryption;awslambda_function_not_publicly_accessible;False;security-remediation-s3-encryption;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.acc.4.aws.iam.1;Proceso de gestión de derechos de acceso;op.acc.4;operacional;control de acceso;Las políticas IAM deben permitir sólo los privilegios necesarios para cada rol. Se recomienda comenzar con el mínimo nivel de permisos e ir añadiendo permisos adicionales según vaya surgiendo la necesidad en lugar de comenzar con permisos administrativos.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Lambda function security-remediation-rdp has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-rdp;awslambda_function_not_publicly_accessible;False;security-remediation-rdp;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.acc.4.aws.iam.1;Proceso de gestión de derechos de acceso;op.acc.4;operacional;control de acceso;Las políticas IAM deben permitir sólo los privilegios necesarios para cada rol. Se recomienda comenzar con el mínimo nivel de permisos e ir añadiendo permisos adicionales según vaya surgiendo la necesidad en lugar de comenzar con permisos administrativos.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad;automático;;PASS;Lambda function security-remediation-ssh has a resource-based policy without public access.;arn:aws:lambda:us-east-1:858573892697:function:security-remediation-ssh;awslambda_function_not_publicly_accessible;False;security-remediation-ssh;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;mp.info.6.aws.bcku.1;Copias de seguridad;mp.info.6;medidas de protección;protección de la información;Para los procedimientos de respaldo de cualquiera de los dos entornos (local y nube) y siempre y cuando se utilicen recursos compatibles en el entorno local, la entidad puede hacer uso de AWS Backup, que permite elaboración de planes de respaldo y la definición de reglas de frecuencia, ciclo de vida, lugar de almacenamiento y etiquetado de las copias de seguridad.;alto;recomendacion;disponibilidad;automático;;FAIL;No Backup Vault exist.;arn:aws:backup:us-east-1:858573892697:backup-vault;backup_vaults_exist;False;858573892697;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.exp.8.r4.aws.ct.3;Control de acceso;op.exp.8.r4;operacional;explotación;Activar el acceso por MFA al registro de actividad almacenado en los buckets de Amazon S3 dedicados para AWS CloudTrail.;alto;refuerzo;trazabilidad;automático;;FAIL;Trail vaultcloud-trail bucket (aws-cloudtrail-logs-858573892697-969e040d) does not have MFA delete enabled.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_bucket_requires_mfa_delete;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.exp.8.r1.aws.ct.7;Revisión de los registros;op.exp.8.r1;operacional;explotación;Integrar CloudTrail con el servicio CloudWatch Logs;alto;refuerzo;trazabilidad;automático;;PASS;Multiregion trail vaultcloud-trail has been logging in the last 24h.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_cloudwatch_logging_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.mon.3.aws.cwl.1;Vigilancia;op.mon.3;operacional;monitorización del sistema;Se deberá utilizar el servicio CloudWatch Logs para acceder a los registros de los diferentes servicios de AWS de forma centralizada;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;PASS;Multiregion trail vaultcloud-trail has been logging in the last 24h.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_cloudwatch_logging_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.exp.8.r1.aws.ct.2;Revisión de los registros;op.exp.8.r1;operacional;explotación;Configurar la herramienta CloudTrail de manera que realice el registro de eventos de administración, eventos de datos y eventos anómalos (insights).;alto;refuerzo;trazabilidad;automático;;FAIL;Trail vaultcloud-trail does not have insight selectors and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_insights_exist;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.exp.8.r1.aws.ct.3;Revisión de los registros;op.exp.8.r1;operacional;explotación;Registrar los eventos de lectura y escritura de datos.;alto;refuerzo;trazabilidad;automático;;FAIL;Trail vaultcloud-trail does not have insight selectors and it is logging.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_insights_exist;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.exp.8.r4.aws.ct.4;Control de acceso;op.exp.8.r4;operacional;explotación;Configurar los archivos de logs de AWS CloudTrail para aprovechar el cifrado del lado del servidor (SSE – Server Side Encryption) y las claves maestras creadas por el cliente (CMK de KMS).;alto;refuerzo;trazabilidad;automático;;FAIL;Multiregion trail vaultcloud-trail has encryption disabled.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_kms_encryption_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;858573892697;us-east-1;2026-09-19 09:30:34.148196;op.exp.8.r4.aws.ct.7;Control de acceso;op.exp.8.r4;operacional;explotación;Cifrado de los trails con KMS;alto;refuerzo;trazabilidad;automático;;FAIL;Multiregion trail vaultcloud-trail has encryption disabled.;arn:aws:cloudtrail:us-east-1:858573892697:trail/vaultcloud-trail;cloudtrail_kms_encryption_enabled;False;vaultcloud-trail;ENS;ENS RD 311/2022 - Categoría Alta
